smoothed_regime1_usd,smoothed_regime2_usd,smoothed_regime1_khr,smoothed_regime2_khr,date
0.040766888792651425,0.9592331112073487,0.0004742274820244279,0.9995257725179756,2021-01-01
0.029807141253472457,0.9701928587465276,3.930827485398882e-05,0.999960691725146,2021-02-01
0.06076479176038018,0.9392352082396199,3.1471642686288944e-05,0.9999685283573138,2021-03-01
0.028648604463369417,0.9713513955366306,1.676598702102694e-05,0.999983234012979,2021-04-01
0.018726291601302215,0.9812737083986978,0.00012002469907898668,0.999879975300921,2021-05-01
0.018296668936950113,0.9817033310630499,5.35870156432668e-05,0.9999464129843567,2021-06-01
0.02113740829102882,0.9788625917089713,9.504548076374088e-05,0.9999049545192362,2021-07-01
0.017634513608290252,0.9823654863917098,0.0001397341669018486,0.9998602658330981,2021-08-01
0.01913268595761967,0.9808673140423804,0.00023867998538286723,0.9997613200146171,2021-09-01
0.02377081420680984,0.9762291857931902,5.156550187562899e-05,0.9999484344981243,2021-10-01
0.02306849092510131,0.9769315090748987,4.448526086951686e-05,0.9999555147391305,2021-11-01
0.0255149814642,0.9744850185357999,4.5858523150327366e-05,0.9999541414768497,2021-12-01
0.040450576165117436,0.9595494238348826,4.6136904426919526e-05,0.9999538630955731,2022-01-01
0.024379325451582123,0.9756206745484178,3.091017280479447e-05,0.9999690898271952,2022-02-01
0.03248347562688625,0.9675165243731139,2.380848040434761e-05,0.9999761915195956,2022-03-01
0.08646111098527928,0.9135388890147208,1.772762057453738e-05,0.9999822723794255,2022-04-01
0.4061323722996411,0.593867627700359,0.00015420260261325862,0.9998457973973867,2022-05-01
0.1360440882801609,0.863955911719839,2.675839869008926e-05,0.99997324160131,2022-06-01
0.13873786179540284,0.8612621382045972,3.26619731431069e-05,0.9999673380268569,2022-07-01
0.24193139835787847,0.7580686016421215,1.9744615979489237e-05,0.9999802553840205,2022-08-01
0.9947348530257117,0.005265146974288275,5.6785930270174084e-05,0.9999432140697299,2022-09-01
0.9949528681082833,0.0050471318917167645,2.1663553616315923e-05,0.9999783364463837,2022-10-01
0.5649622121735106,0.4350377878264895,1.6616323496825585e-05,0.9999833836765031,2022-11-01
0.47538121616855283,0.5246187838314472,1.309180322916929e-05,0.9999869081967708,2022-12-01
0.3536737467963583,0.6463262532036417,6.792836938494229e-05,0.9999320716306151,2023-01-01
0.08575740944611843,0.9142425905538816,3.090532376698408e-05,0.9999690946762331,2023-02-01
0.05694469277989268,0.9430553072201073,2.5151062906070117e-05,0.999974848937094,2023-03-01
0.06354652703852161,0.9364534729614784,2.1268635431808446e-05,0.9999787313645682,2023-04-01
0.22016109109831758,0.7798389089016823,2.135040115006868e-05,0.99997864959885,2023-05-01
0.7891148397420971,0.21088516025790296,1.7496623537475816e-05,0.9999825033764626,2023-06-01
0.945141760417991,0.054858239582009014,1.49655384118491e-05,0.9999850344615882,2023-07-01
0.2807304024788183,0.7192695975211818,1.3451922698175239e-05,0.9999865480773018,2023-08-01
0.0839772866390394,0.9160227133609606,3.361755779147784e-05,0.9999663824422085,2023-09-01
0.04216402637407486,0.9578359736259252,4.702176416279461e-05,0.9999529782358372,2023-10-01
0.05286952404870767,0.9471304759512924,2.3661607561520438e-05,0.9999763383924384,2023-11-01
0.1051823847524856,0.8948176152475145,1.5771982507514645e-05,0.9999842280174925,2023-12-01
0.07179100530213375,0.9282089946978662,6.112882096683497e-05,0.9999388711790331,2024-01-01
0.025441614699887382,0.9745583853001126,8.93828174224876e-05,0.9999106171825776,2024-02-01
0.021942228738846468,0.9780577712611536,4.358190637328263e-05,0.9999564180936267,2024-03-01
0.042938830069815685,0.9570611699301843,4.2244452301863244e-05,0.9999577555476981,2024-04-01
0.16236390181196617,0.8376360981880338,4.0231120821067196e-05,0.999959768879179,2024-05-01
0.14942762373681379,0.8505723762631863,3.211036929362556e-05,0.9999678896307064,2024-06-01
0.12884036318071354,0.8711596368192865,0.00010679893332510027,0.9998932010666749,2024-07-01
0.04889394637440782,0.9511060536255922,5.216092631818388e-05,0.9999478390736819,2024-08-01
0.06430182481547977,0.9356981751845201,4.4287195356258925e-05,0.9999557128046438,2024-09-01
0.21425262875279302,0.7857473712472071,3.592655821924768e-05,0.9999640734417807,2024-10-01
0.32557620704390666,0.6744237929560934,0.00010628282724316756,0.9998937171727569,2024-11-01
0.15883612866323008,0.84116387133677,4.465746445127772e-05,0.9999553425355487,2024-12-01
0.18703907189236232,0.8129609281076378,0.00013267642741226777,0.9998673235725878,2025-01-01
0.05478210950859265,0.9452178904914074,8.061856246636344e-05,0.9999193814375336,2025-02-01
0.03218096305644594,0.9678190369435541,0.0001657826727762732,0.9998342173272238,2025-03-01
0.019640085042464978,0.9803599149575349,4.21908758467547e-05,0.9999578091241532,2025-04-01
0.018706018366627067,0.981293981633373,6.538733242630449e-05,0.9999346126675738,2025-05-01
0.025463183480755932,0.9745368165192441,3.870170023206158e-05,0.9999612982997679,2025-06-01
0.04015649285800214,0.9598435071419978,3.6107964464341194e-05,0.9999638920355357,2025-07-01
0.04656903408373477,0.9534309659162652,3.1555228050831635e-05,0.9999684447719492,2025-08-01
0.056808347957456554,0.9431916520425434,1.4313435614457617e-05,0.9999856865643856,2025-09-01
0.050426925115025355,0.9495730748849747,0.00011026860056944098,0.9998897313994305,2025-10-01
0.14456820562204456,0.8554317943779555,2.2434061838432533e-05,0.9999775659381616,2025-11-01
0.6537495699825723,0.3462504300174277,6.980095455578751e-05,0.9999301990454442,2025-12-01
