date,USD_spread,KHR_spread,lambda_usd_R40,lambda_khr_R40,PD_usd_R30,PD_usd_R40,PD_usd_R50,PD_khr_R30,PD_khr_R40,PD_khr_R50
2016-10-01,8.454970193047231,17.807349821728607,0.1409161698841205,0.2967891636954768,0.11377577827688645,0.13143787969095788,0.15557503988735255,0.2246112106472512,0.25679931046835835,0.2996303391749191
2016-11-01,6.124268372801151,18.5531135463241,0.10207113954668584,0.30921855910540164,0.08377155214698384,0.09703468715908514,0.11528114946374235,0.23282817399759703,0.2659796743321102,0.3099990267789121
2016-12-01,6.507962536114205,13.999553218080788,0.10846604226857008,0.23332588696801312,0.0887799775485929,0.10279063850578751,0.12204439527704014,0.18126402127538188,0.2081045369422596,0.24420950510389106
2017-01-01,7.279358993527229,26.649026710325508,0.12132264989212048,0.4441504451720918,0.09876644980887939,0.11425187305418605,0.13548548147524864,0.31661738702964215,0.35863107728928756,0.413146775702564
2017-02-01,7.226134354372894,14.089385761341887,0.12043557257288157,0.23482309602236479,0.09808093450397648,0.11346579737680917,0.13456472202545688,0.1823140493010469,0.20928928287216897,0.24556617765207922
2017-03-01,9.102453955235491,15.007061294755818,0.1517075659205915,0.2501176882459303,0.12193535149530177,0.14076048507884764,0.1664395709877815,0.19296366740695137,0.22129086723349634,0.2592863946472458
2017-04-01,8.495090246303837,12.12537308432167,0.14158483743839728,0.20208955140536117,0.11428356650195048,0.13201846486881452,0.156252335607028,0.15904709172212472,0.18297824078064417,0.21534210731427383
2017-05-01,6.923311045490069,12.47289956210982,0.11538851742483448,0.207881659368497,0.0941707382443937,0.10898010010671233,0.12930733802165573,0.16321179359804827,0.18769684050692215,0.22077698566740211
2017-06-01,7.1420760975053525,12.038401801269002,0.1190346016250892,0.20064003002115002,0.09699723046824005,0.11222291829925535,0.13310855872496985,0.15800160303996091,0.18179309152720768,0.2139760655209384
2017-07-01,7.701630089077099,12.943192513956715,0.12836050148461833,0.2157198752326119,0.10418672573827314,0.1204637521382006,0.14275592712811158,0.168814887491755,0.19403896009657617,0.2280718863132829
2017-08-01,7.580277366180921,11.317462018672064,0.12633795610301535,0.18862436697786772,0.10263238767589655,0.11868304999371104,0.14067282219752553,0.14928493383166763,0.17190249095035592,0.20256044505934
2017-09-01,6.9965983945487995,10.875595938224055,0.11660997324247999,0.18125993230373424,0.09511861089719553,0.11006777713712634,0.13058261831504214,0.14389791884118253,0.1657815098225257,0.1954819839980696
